category,equipment_required,muscle,name
Strength,Cable,Shoulders,Cable Rear Delt Fly
Strength,Machine,Shoulders,Reverse Machine Flyes
Strength,Cable,Abdominals,Standing Cable Wood Chop
Strength,Barbell,Shoulders,Anti-Gravity Press
Strength,Kettlebells,Hamstrings,Single Leg Deadlift
Strength,Machine,Lower Back,Seated Back Extension
Strength,Barbell,Middle Back,Pendlay Rown
Strength,Barbell,Lower Back,Stiff Leg Barbell Good Morning
Strength,Cable,Lats,Full Range-Of-Motion Lat Pulldown
Strength,Cable,Triceps,Cable Rope Overhead Triceps Extension
Strength,Dumbbell,Triceps,Tate Press
Strength,Bands,Shoulders,Back Flyes - With Bands
Powerlifting,Barbell,Lower Back,Seated Good Mornings
Plyometrics,Other,Hamstrings,Box Jump (Multiple Response)
Plyometrics,Body Only,Hamstrings,Knee Tuck Jump
Strength,Dumbbell,Triceps,Close-Grip Dumbbell Press
Strength,Cable,Traps,Upright Cable Row
Strength,Body Only,Abdominals,Bent-Knee Hip Raise
Strength,Machine,Middle Back,Smith Machine Bent Over Row
Strength,Dumbbell,Biceps,Standing Dumbbell Reverse Curl
Strength,Barbell,Quadriceps,Zercher Squats
Strength,E-Z Curl Bar,Triceps,Lying Triceps Press
Strength,E-Z Curl Bar,Triceps,Lying Close-Grip Barbell Triceps Press To Chin
Strength,Cable,Shoulders,Cable Shoulder Press
Strength,Cable,Abdominals,Cable Russian Twists
Strength,Barbell,Hamstrings,Romanian Deadlift
Strength,Barbell,Lats,Bent-Arm Barbell Pullover
Strength,Machine,Quadriceps,Lying Machine Squat
Strength,Machine,Shoulders,Machine Shoulder (Military) Press
Strength,Cable,Triceps,Standing Low-Pulley One-Arm Triceps Extension
Strength,Machine,Chest,Smith Machine Incline Bench Press
Strength,Dumbbell,Shoulders,Cuban Press
Strength,Machine,Abdominals,Ab Crunch Machine
Strength,Other,Abdominals,Weighted Sit-Ups - With Bands
Strength,Barbell,Quadriceps,Jefferson Squats
Stretching,None,Abductors,Windmills
Olympic Weightlifting,Barbell,Quadriceps,Jerk Dip Squat
Strongman,Other,Quadriceps,Yoke Walk
Plyometrics,Body Only,Quadriceps,Rocket Jump
Strength,Machine,Quadriceps,Smith Machine Leg Press
Strength,Body Only,Abdominals,Wind Sprints
Strength,None,Quadriceps,Bodyweight Walking Lunge
Strength,Machine,Abdominals,Smith Machine Hip Raise
Strength,Kettlebells,Hamstrings,Romanian Deadlift with Kettlebell
Strength,Body Only,Abductors,Fire Hydrant
Strength,Body Only,Triceps,Body-Up
Plyometrics,Medicine Ball,Quadriceps,Wall Ball Squat
Strength,Body Only,Abdominals,Alternate Heel Touchers
Strength,Machine,Triceps,Smith Machine Close-Grip Bench Press
Strength,Dumbbell,Shoulders,Reverse Flyes With External Rotation
Strength,Dumbbell,Biceps,Incline Inner Biceps Curl
Strength,Kettlebells,Chest,Plyo Kettlebell Pushups
Plyometrics,Other,Quadriceps,Depth Jump Leap
Strength,Machine,Hamstrings,Reverse Hyperextension
Strength,Cable,Shoulders,Alternating Cable Shoulder Press
Strength,Machine,Hamstrings,Seated Leg Curl
Strength,Cable,Traps,Cable Shrugs
Olympic Weightlifting,Barbell,Quadriceps,Overhead Squat
Strength,Kettlebells,Middle Back,Alternating Kettlebell Row
Strength,Machine,Quadriceps,Single-Leg Leg Extension
Strength,Body Only,Quadriceps,Pistol Squat
Strength,Machine,Middle Back,Lying T-Bar Row
Strength,Dumbbell,Shoulders,Lying One-Arm Lateral Raise
Strength,Bands,Shoulders,Lateral Raise - With Bands
Strength,Cable,Biceps,High Cable Curls
Strength,Dumbbell,Triceps,Standing Bent-Over One-Arm Dumbbell Triceps Extension
Strength,Barbell,Shoulders,Standing Barbell Press Behind Neck
Powerlifting,Bands,Hamstrings,Band Good Morning
Strength,Machine,Middle Back,Leverage High Row
Plyometrics,Medicine Ball,Lats,Overhead Slam
Strength,Cable,Abdominals,Pallof Press With Rotation
Strength,E-Z Curl Bar,Biceps,Close-Grip EZ-Bar Curl with Band
Strength,Cable,Lats,Kneeling High Pulley Row
Strength,Bands,Traps,Upright Row - With Bands
Strength,Barbell,Quadriceps,Barbell Side Split Squat
Stretching,None,Hamstrings,Leg-Up Hamstring Stretch
Powerlifting,Barbell,Hamstrings,Sumo Deadlift with Chains
Strength,Exercise Ball,Glutes,Physioball Hip Bridge
Strength,Other,Abdominals,Suspended Reverse Crunch
Strength,Kettlebells,Shoulders,Kettlebell Pirate Ships
Strength,Body Only,Quadriceps,Side Lunge
Cardio,Body Only,Quadriceps,Walking High Knees
Strength,Body Only,Chest,Close-Hands Push-Up
Strength,Dumbbell,Shoulders,See-Saw Press (Alternating Side Press)
Strength,Cable,Forearms,Cable Wrist Curl
Strength,Dumbbell,Shoulders,Dumbbell One-Arm Upright Row
Strength,Dumbbell,Shoulders,Dumbbell Scaption
Strength,Machine,Traps,Smith Machine Behind the Back Shrug
Strength,Body Only,Abdominals,Flat Bench Leg Pull-In
Strength,Barbell,Quadriceps,Speed Squats
Strength,Cable,Abdominals,Cable Seated Crunch
Strength,Machine,Quadriceps,Smith Single-Leg Split Squat
Strength,Machine,Quadriceps,Seated Leg Press
Strength,Kettlebells,Quadriceps,Kettlebell Curtsy Lunge
Strength,Body Only,Abdominals,Frog Sit-Ups
Strength,Kettlebells,Abdominals,Kettlebell Windmill
Strength,Kettlebells,Abdominals,Kettlebell Figure 8
Stretching,Body Only,Adductors,Side Leg Raises
Powerlifting,Barbell,Triceps,Board Press
Strongman,Other,Shoulders,Circus Bell
Olympic Weightlifting,Barbell,Quadriceps,Frankenstein Squat
Plyometrics,Body Only,Quadriceps,Single Leg Butt Kick
Strength,Cable,Quadriceps,Cable Deadlifts
Strength,Dumbbell,Biceps,One-Arm Plank Dumbbell Biceps Curl
Strength,Dumbbell,Chest,Around The Worlds
Strength,Barbell,Middle Back,Incline Bench Pull
Strength,Dumbbell,Biceps,Dumbbell Prone Incline Curl
Strength,Other,Lats,Band Assisted Pull-Up
Strength,Other,Middle Back,Suspended Row
Plyometrics,Body Only,Quadriceps,Jump Squat
Strength,Body Only,Chest,Tiger-Bend Push-Up
Strength,Other,Neck,Seated Head Harness Neck Resistance
Strength,Barbell,Calves,Barbell Seated Calf Raise
Strength,Bands,Shoulders,Shoulder Press - With Bands
Olympic Weightlifting,Barbell,Glutes,Kneeling Jump Squat
Strength,Barbell,Chest,Barbell Bench Press-Wide Grip
Strength,Barbell,Quadriceps,One-Arm Side Deadlift
Strength,Dumbbell,Biceps,Zottman Preacher Curl
Strength,Body Only,Abdominals,Sit-Up
Strength,Dumbbell,Triceps,Seated Bent-Over One-Arm Dumbbell Triceps Extension
Strength,Kettlebells,Shoulders,Two-Arm Kettlebell Clean
Plyometrics,Dumbbell,Hamstrings,Vertical Swing
Stretching,Body Only,Hamstrings,Inchworm
Strength,Cable,Biceps,Cable Preacher Curl
Strength,Body Only,Abdominals,Side Bridge
Strength,Other,Calves,Balance Board
Strength,Kettlebells,Shoulders,Double Kettlebell Push Press
Plyometrics,Body Only,Quadriceps,Split Jump
Plyometrics,Body Only,Chest,Plyo Push-up
Plyometrics,Body Only,Quadriceps,Bench Jump
Strength,Body Only,Neck,Isometric Neck Exercise - Sides
Strength,Machine,Hamstrings,Standing Leg Curl
Strength,Body Only,Abdominals,Leg Pull-In
Strength,Dumbbell,Biceps,Standing Inner-Biceps Curl
Strength,Dumbbell,Shoulders,Dumbbell Incline Shoulder Raise
Strength,Kettlebells,Hamstrings,One-Arm Kettlebell Swings
Strength,Machine,Triceps,Machine Triceps Extension
Cardio,Other,Hamstrings,Prowler Sprint
Strength,Barbell,Shoulders,Barbell Front Raise
Strength,Barbell,Quadriceps,Barbell Squat To A Bench
Strength,Body Only,Abdominals,Oblique Crunches - On The Floor
Strength,Body Only,Abdominals,Janda Sit-Up
Strength,Dumbbell,Biceps,Seated Dumbbell Inner Biceps Curl
Strength,Other,Calves,Donkey Calf Raises
Strength,Cable,Glutes,Pull Through
Strength,Body Only,Triceps,Incline Push-Up Close-Grip
Strength,Machine,Traps,Smith Machine Upright Row
Strength,Body Only,Abdominals,Crunch - Legs On Exercise Ball
Strength,Body Only,Abdominals,Side Jackknife
Strength,Kettlebells,Abdominals,Kettlebell Pass Between The Legs
Plyometrics,None,Hamstrings,Moving Claw Series
Strength,Other,Chest,Suspended Push-Up
Strength,Dumbbell,Quadriceps,Dumbbell Walking Lunge
Strength,Cable,Chest,Flat Bench Cable Flyes
Strength,Barbell,Triceps,One Arm Floor Press
Strength,Barbell,Chest,Wide-Grip Decline Barbell Pullover
Strength,Machine,Calves,Smith Machine Reverse Calf Raises
Strength,Kettlebells,Middle Back,Two-Arm Kettlebell Row
Plyometrics,Other,Quadriceps,Front Cone Hops (or hurdle hops)
Plyometrics,Body Only,Adductors,Lateral Bound
Strength,Cable,Lats,One Arm Lat Pulldown
Strength,Body Only,Triceps,Close-Grip Push-Up off of a Dumbbell
Strength,Machine,Chest,Smith Machine Decline Press
Strength,Dumbbell,Calves,Dumbbell Seated One-Leg Calf Raise
Strength,Other,Quadriceps,Weighted Squat
Olympic Weightlifting,Barbell,Quadriceps,Clean Pull
Strength,Machine,Shoulders,Smith Machine One-Arm Upright Row
Strength,Machine,Shoulders,Machine Lateral Raise
Strength,Cable,Lats,Cable Incline Pushdown
Strength,Other,Biceps,Reverse Plate Curls
Strength,Barbell,Shoulders,Standing Front Barbell Raise Over Head
Stretching,None,Calves,Ankle Circles
Strength,Bands,Glutes,Hip Extension with Bands
Strength,Other,Lats,Kipping Muscle Up
Plyometrics,Body Only,Chest,Isometric Chest Squeezes
Strength,Cable,Triceps,Cable Incline Triceps Extension
Strength,Cable,Biceps,Lying Close-Grip Bar Curl On High Pulley
Stretching,None,Adductors,Groin and Back Stretch
Strength,Body Only,Chest,Push Up to Side Plank
Strength,Cable,Lats,Wide-Grip Pulldown Behind The Neck
Strength,Body Only,Abdominals,Seated Leg Tucks
Stretching,Other,Biceps,Standing Biceps Stretch
Strength,Dumbbell,Quadriceps,Dumbbell Squat To A Bench
Strength,Machine,Hamstrings,Smith Machine Stiff-Legged Deadlift
Stretching,Body Only,Abdominals,Scissor Kick
Powerlifting,Barbell,Triceps,Pin Presses
Strength,Other,Lats,London Bridges
Plyometrics,Body Only,Quadriceps,90-Degree Jump Squat Twist
Strength,Barbell,Abdominals,Barbell Side Bend
Strength,Kettlebells,Quadriceps,One-Arm Overhead Kettlebell Squats
Strength,Kettlebells,Shoulders,Kettlebell Seated Press
Strength,Kettlebells,Shoulders,Double Kettlebell Jerk
Strength,Machine,Quadriceps,Smith Machine Pistol Squat
Plyometrics,Other,Quadriceps,Bench Sprint
Strength,Machine,Quadriceps,Wide-Stance Leg Press
Stretching,Body Only,Abdominals,Toe Touchers
Strongman,Other,Quadriceps,Backward Drag
Plyometrics,None,Quadriceps,Alternate Leg Diagonal Bound
Strongman,Other,Quadriceps,Sled Push
Plyometrics,Medicine Ball,Shoulders,Backward Medicine Ball Throw
Strength,Kettlebells,Shoulders,Kettlebell Arnold Press
Olympic Weightlifting,Barbell,Traps,Clean Shrug
Strength,Barbell,Shoulders,Landmine Linear Jammer
Stretching,None,Hamstrings,Standing Toe Touches
Strength,Barbell,Chest,Barbell Guillotine Bench Press
Stretching,None,Shoulders,Upward Stretch
Stretching,None,Shoulders,Shoulder Circles
Stretching,Other,Hamstrings,Intermediate Groin Stretch
Stretching,Other,Hamstrings,Standing Hamstring and Calf Stretch
Strength,Bands,Abductors,Monster Walk
Strength,Barbell,Quadriceps,Squat with Plate Movers
Strength,Body Only,Chest,Side To Side Push-Up
Stretching,Foam Roll,Glutes,Piriformis-SMR
Strength,None,Traps,Scapular Pull-Up
Strength,Cable,Shoulders,Cable Seated Lateral Raise
Strength,Body Only,Triceps,Standing Towel Triceps Extension
Stretching,Body Only,Abdominals,Lower Back Curl
Strength,Barbell,Middle Back,Straight Bar Bench Mid Rows
Strength,Body Only,Glutes,Leg Lift
Strength,Dumbbell,Chest,One-Arm Flat Bench Dumbbell Flye
Strength,Barbell,Shoulders,Barbell Incline Shoulder Raise
Olympic Weightlifting,Barbell,Shoulders,Push Press - Behind the Neck
Strength,Other,Quadriceps,Suspended Split Squat
Strength,Body Only,Neck,Isometric Neck Exercise - Front And Back
Strength,Exercise Ball,Abdominals,Weighted Ball Side Bend
Strength,Other,Middle Back,Inverted Row with Straps
Stretching,Foam Roll,Calves,Peroneals-SMR
Strongman,Other,Lower Back,Atlas Stone Trainer
Stretching,Body Only,Calves,Knee Circles
Stretching,Other,Quadriceps,Intermediate Hip Flexor and Quad Stretch
Stretching,Other,Hamstrings,Lying Hamstring
Strength,Dumbbell,Triceps,Dumbbell Tricep Extension -Pronated Grip
Strength,Kettlebells,Abdominals,Bent Press
Strength,Other,Middle Back,One Arm Chin-Up
Strength,Kettlebells,Chest,Extended Range One-Arm Kettlebell Floor Press
Strength,Dumbbell,Forearms,Seated Dumbbell Palms-Up Wrist Curl
Strength,Barbell,Middle Back,Lying Cambered Barbell Row
Olympic Weightlifting,Barbell,Traps,Snatch Shrug
Stretching,None,Quadriceps,Sit Squats
Strongman,Other,Shoulders,Crucifix
Powerlifting,Bands,Glutes,Hip Lift with Band
Strength,Kettlebells,Chest,Alternating Floor Press
Stretching,Foam Roll,Calves,Calves-SMR
Strongman,Other,Chest,Forward Drag with Press
Stretching,None,Shoulders,Shoulder Stretch
Stretching,None,Hamstrings,Hamstring Stretch
Plyometrics,Medicine Ball,Chest,Medicine Ball Chest Pass
Strength,Barbell,Biceps,Lying High Bench Barbell Curl
Stretching,None,Lats,One Arm Against Wall
Strength,Bands,Quadriceps,Squats - With Bands
Stretching,None,Chest,Dynamic Chest Stretch
Plyometrics,Medicine Ball,Lats,Catch and Overhead Throw
Strength,Machine,Hamstrings,Smith Machine Hang Power Clean
Stretching,Foam Roll,Middle Back,Rhomboids-SMR
Strength,Body Only,Neck,Neck Bridge Prone
Stretching,None,Calves,Standing Gastrocnemius Calf Stretch
Powerlifting,Other,Chest,Chain Press
Strength,Bands,Chest,Bench Press - With Bands
Stretching,None,Triceps,Tricep Side Stretch
Stretching,Foam Roll,Hamstrings,Hamstring-SMR
Plyometrics,Body Only,Quadriceps,Fast Skipping
Stretching,Exercise Ball,Lower Back,Hug A Ball
Stretching,None,Lower Back,Dancer's Stretch
Stretching,None,Hamstrings,Upper Back-Leg Grab
Stretching,None,Quadriceps,Kneeling Hip Flexor
Stretching,Foam Roll,Quadriceps,Quadriceps-SMR
Strength,Barbell,Quadriceps,Front Barbell Squat To A Bench
Stretching,None,Calves,Calf Stretch Hands Against Wall
Strength,Kettlebells,Hamstrings,Kettlebell Dead Clean
Plyometrics,Medicine Ball,Abdominals,Supine Two-Arm Overhead Throw
Strength,Dumbbell,Forearms,Partner Farmer's Walk Competition
Stretching,None,Lower Back,Child's Pose
Stretching,Other,Shoulders,Round The World Shoulder Stretch
Stretching,None,Middle Back,Spinal Stretch
Stretching,None,Shoulders,Elbow Circles
Stretching,None,Hamstrings,Seated Hamstring
Stretching,Other,Calves,Anterior Tibialis-SMR
Stretching,None,Forearms,Kneeling Forearm Stretch
Stretching,None,Quadriceps,Iron Crosses (stretch)
Stretching,None,Lower Back,Pelvic Tilt Into Bridge
Stretching,None,Hamstrings,Seated Floor Hamstring Stretch
Stretching,None,Shoulders,Arm Circles
Stretching,Body Only,Hamstrings,90/90 Hamstring
Stretching,Body Only,Quadriceps,All Fours Quad Stretch
Stretching,Body Only,Biceps,Seated Biceps
Stretching,Exercise Ball,Abdominals,Torso Rotation
Strength,Cable,Abdominals,Cable Judo Flip
Stretching,None,Lower Back,Cat Stretch
Stretching,None,Calves,Calf Stretch Elbows Against Wall
Stretching,Other,Chest,Behind Head Chest Stretch
Stretching,Other,Quadriceps,Quad Stretch
Strength,Kettlebells,Hamstrings,Alternating Hang Clean
Strength,Bands,Calves,Calf Raises - With Bands
Stretching,None,Neck,Side Neck Stretch
Stretching,None,Chest,Elbows Back
Stretching,None,Lats,Dynamic Back Stretch
Strength,Dumbbell,Calves,Calf Raise On A Dumbbell
Stretching,None,Glutes,Ankle On The Knee
Stretching,None,Triceps,Triceps Stretch
Strength,Barbell,Abdominals,Seated Barbell Twist
Stretching,None,Quadriceps,One Half Locust
Stretching,Foam Roll,Lats,Latissimus Dorsi-SMR
Stretching,None,Abdominals,Seated Overhead Stretch
Stretching,Foam Roll,Lower Back,Lower Back-SMR
Stretching,Body Only,Shoulders,Seated Front Deltoid
Stretching,None,Lower Back,Hug Knees To Chest
Stretching,None,Quadriceps,Standing Hip Flexors
Stretching,None,Hamstrings,World's Greatest Stretch
Stretching,None,Quadriceps,Looking At Ceiling
Stretching,None,Hamstrings,The Straddle
Stretching,None,Middle Back,Upper Back Stretch
Stretching,None,Hamstrings,Split Squats
Stretching,None,Calves,Standing Soleus And Achilles Stretch
Stretching,None,Calves,Seated Calf Stretch
Stretching,None,Shoulders,Shoulder Raise
Stretching,Other,Shoulders,Chair Upper Body Stretch
Strength,Exercise Ball,Glutes,Downward Facing Balance
Stretching,Foam Roll,Adductors,Adductor
Plyometrics,None,Shoulders,Kneeling Arm Drill
Stretching,None,Quadriceps,Frog Hops
Stretching,None,Abdominals,Overhead Stretch
Stretching,None,Lower Back,Crossover Reverse Lunge
Stretching,None,Middle Back,Middle Back Stretch
Stretching,None,Adductors,Side Lying Groin Stretch
Stretching,None,Neck,Chin To Chest Stretch
Stretching,Exercise Ball,Chest,Chest Stretch on Stability Ball
Stretching,None,Hamstrings,Runner's Stretch
Stretching,Other,Lats,One Handed Hang
Stretching,None,Adductors,Adductor/Groin
Stretching,None,Glutes,Knee Across The Body
Plyometrics,Medicine Ball,Shoulders,Medicine Ball Scoop Throw
Stretching,Body Only,Quadriceps,Rear Leg Raises
Stretching,Other,Calves,Peroneals Stretch
Stretching,None,Quadriceps,On Your Side Quad Stretch
Stretching,Other,Quadriceps,On-Your-Back Quad Stretch
Stretching,Body Only,Triceps,Overhead Triceps
Stretching,Foam Roll,Biceps,Brachialis-SMR
Stretching,None,Abdominals,Standing Lateral Stretch
Stretching,None,Lats,Chair Lower Back Stretch
Stretching,None,Lower Back,Standing Pelvic Tilt
Stretching,Body Only,Glutes,Seated Glute
Stretching,Other,Chest,Chest And Front Of Shoulder Stretch
Strength,Kettlebells,Abdominals,Double Kettlebell Windmill
Stretching,Body Only,Glutes,Lying Glute
Stretching,Other,Adductors,Lying Bent Leg Groin
Stretching,Other,Neck,Neck-SMR
Stretching,Other,Quadriceps,Standing Elevated Quad Stretch
Stretching,Other,Calves,Foot-SMR
Stretching,None,Glutes,One Knee To Chest
Stretching,Body Only,Forearms,Wrist Circles
Stretching,Other,Hamstrings,Chair Leg Extended Stretch
Stretching,Other,Abductors,IT Band and Glute Stretch
Stretching,Body Only,Abductors,Lying Crossover
Stretching,Exercise Ball,Lower Back,Pyramid
Stretching,Other,Lats,Overhead Lat
Stretching,Other,Calves,Posterior Tibialis Stretch
Stretching,None,Lats,Side-Lying Floor Stretch
Strength,Barbell,Shoulders,Smith Incline Shoulder Raise
Strength,Kettlebells,Shoulders,One-Arm Kettlebell Jerk
Strength,Kettlebells,Chest,One-Arm Kettlebell Floor Press
Strength,Kettlebells,Shoulders,One-Arm Kettlebell Military Press To The Side
Strength,Kettlebells,Shoulders,One-Arm Kettlebell Para Press
Strength,Kettlebells,Shoulders,Two-Arm Kettlebell Jerk
Strength,Kettlebells,Shoulders,One-Arm Kettlebell Split Jerk
Strength,Kettlebells,Chest,Leg-Over Floor Press
Strength,Kettlebells,Hamstrings,Kettlebell Hang Clean
Strength,Kettlebells,Hamstrings,Double Kettlebell Alternating Hang Clean
Stretching,Other,Hamstrings,Seated Hamstring and Calf Stretch
Strength,Barbell,Quadriceps,Box Squat with Chains
Strongman,Other,Quadriceps,Car Deadlift
Powerlifting,Barbell,Hamstrings,Good Morning off Pins
Olympic Weightlifting,Barbell,Hamstrings,Hang Snatch - Below Knees
Olympic Weightlifting,Barbell,Shoulders,Jerk Balance
Strongman,Other,Lower Back,Keg Load
Strongman,Other,Shoulders,Log Lift
Olympic Weightlifting,Barbell,Hamstrings,Muscle Snatch
Powerlifting,Barbell,Quadriceps,Squat with Bands
Strongman,Other,Quadriceps,Sandbag Load
Strongman,Other,Quadriceps,Sled Drag - Harness
Strength,Barbell,Quadriceps,Squat Jerk
Powerlifting,Barbell,Hamstrings,Sumo Deadlift with Bands
Powerlifting,Barbell,Triceps,Floor Press with Chains
Olympic Weightlifting,Barbell,Quadriceps,Snatch from Blocks
Olympic Weightlifting,Barbell,Quadriceps,Split Clean
Powerlifting,Barbell,Lower Back,Reverse Band Deadlift
Powerlifting,Barbell,Quadriceps,Reverse Band Power Squat
Powerlifting,Barbell,Hamstrings,Reverse Band Sumo Deadlift
Plyometrics,Medicine Ball,Chest,Chest Push (single response)
Plyometrics,Other,Hamstrings,Hurdle Hops
Plyometrics,Medicine Ball,Shoulders,Return Push from Stance
Plyometrics,Other,Quadriceps,Side Hop-Sprint
Plyometrics,Other,Quadriceps,Single-Leg Hop Progression
Plyometrics,Medicine Ball,Shoulders,Standing Two-Arm Overhead Throw
Plyometrics,Other,Quadriceps,Stride Jump Crossover
Strength,Bands,Shoulders,External Rotation with Band
Stretching,Body Only,Abdominals,Hip Crossover
Strength,Bands,Quadriceps,Hip Flexion with Band
Strength,Body Only,Abdominals,Plank with Twist
Plyometrics,None,Adductors,Carioca Quick Step
Plyometrics,None,Quadriceps,Side Standing Long Jump
Plyometrics,Other,Quadriceps,Single-Cone Sprint Drill
Plyometrics,None,Hamstrings,Linear 3-Part Start Technique
Plyometrics,Other,Quadriceps,Linear Depth Jump
Strength,Barbell,Quadriceps,Elevated Back Lunge
Strength,Other,Hamstrings,Seated Band Hamstring Curl
Strength,Bands,Triceps,Speed Band Overhead Triceps
Strength,Other,Triceps,Sled Overhead Triceps Extension
Strength,Body Only,Chest,Incline Push-Up Reverse Grip
Strength,Machine,Quadriceps,Lunge Sprint
Strength,Kettlebells,Quadriceps,Single Arm Overhead Kettlebell Squat
Strength,Body Only,Abdominals,Suitcase Crunch
Strength,Body Only,Glutes,Glute Bridge Hamstring Walkout
Strength,Body Only,Abdominals,Seated Scissor Kick
Cardio,Body Only,Shoulders,Punches
Cardio,Body Only,Quadriceps,Slow Jog
Cardio,Body Only,Quadriceps,Defensive Slide
Strength,Body Only,Abdominals,Cross Crunch
Plyometrics,Body Only,Quadriceps,Square Hop
Cardio,Body Only,Quadriceps,Lateral Speed Step
Strength,Barbell,Hamstrings,Stiff-Legged Deadlift
Strength,Other,Chest,Suspended Chest Fly
Strength,Body Only,Chest,Staggered Push-Up
Strength,Barbell,Triceps,JM Press
Strength,Barbell,Triceps,JM Press With Bands
Strength,Barbell,Lats,Rockers (Pullover To Press) Straight Bar
Strength,Body Only,Abdominals,Straight-Legged Hip Raise
Strength,Body Only,Lower Back,Partner Supermans With Alternating High-Five
Strength,Body Only,Abdominals,Partner Facing Planks With Alternating High-Five
Strength,Bands,Middle Back,Partner Facing Side Plank With Band Row
Strength,Bands,Middle Back,Partner Facing Feet-Elevated Side Plank With Band Row
Strength,Medicine Ball,Abdominals,Partner 3-Touch Motion Russian Twist
Strength,Medicine Ball,Abdominals,Partner Side-To-Side Russian Twist & Pass
Strength,Medicine Ball,Chest,Medicine-Ball Push-Up
Strength,Other,Lower Back,Partner Flat-Bench Back Extension
Strength,Other,Lower Back,Partner Flat-Bench Back Extension With Hold
Strength,Body Only,Abdominals,Partner Hanging Knee Raise With Throw Down
Strength,Body Only,Abdominals,Partner Hanging Knee Raise With Manual Resistance
Strength,Bands,Abductors,Lateral Band Walk
Strength,Dumbbell,Shoulders,Dumbbell Squat To Shoulder Press
Strength,Dumbbell,Quadriceps,Dumbbell Overhead Squat
Strength,Dumbbell,Quadriceps,Single-Arm Dumbbell Overhead Squat
Strength,Barbell,Middle Back,Single-Arm Landmine Row
Strength,Medicine Ball,Abdominals,Medicine Ball Rotational Throw
Strength,Other,Hamstrings,Suspended Leg Curl
Strength,Body Only,Abdominals,Suspended Crunch
Strength,Exercise Ball,Abdominals,Bosu Ball Crunch
Strength,Dumbbell,Triceps,Triceps Plank Extension
Plyometrics,Other,Quadriceps,Single-Leg Box Jump
Strength,Other,Chest,Suspended Push-Up
Plyometrics,Barbell,Quadriceps,Burpee Over Barbell
Strength,Body Only,Shoulders,Hand Stand Push-Up
Strength,Kettlebells,Quadriceps,Kettlebell Sumo Squat
Strength,Barbell,Quadriceps,Barbell Reverse Lunge
Strength,Bands,Lats,Assisted Chin-Up
Strength,Exercise Ball,Abdominals,Stability Ball Pike With Knee Tuck
Strength,Body Only,Chest,Diamond Push-Up
Strength,Body Only,Chest,Typewriter Push-Up
Plyometrics,Body Only,Chest,Clapping Push-Up
Plyometrics,Body Only,Chest,Triple Clap Push-Up
Strength,Other,Chest,Weighted Push-Up
Strength,Body Only,Chest,One-Arm Push-Up
Strength,Dumbbell,Quadriceps,Close-Stance Dumbbell Front Squat
Strength,Dumbbell,Shoulders,Front Dumbbell Raise Using Towel
Strength,Body Only,Abdominals,Shoulder Tap
Strength,Dumbbell,Triceps,V-Sit Dumbbell Triceps Extension
Strength,Barbell,Middle Back,Barbell Deadlift Bent Row Complex
Strength,Machine,Chest,Bar Throw And Press
Plyometrics,Other,Chest,Decline Explosive Push-Up
Strength,Other,Lats,Around The World Pull-Up
Strength,Other,Shoulders,Plate Shoulder Circle Big To Small Rotation
Cardio,Other,Quadriceps,Double Under
Cardio,Body Only,Quadriceps,Jumping Jack
Plyometrics,Body Only,Quadriceps,Sprawl Frog Kick
Strength,Kettlebells,Quadriceps,Kettlebell Side Squat
Strength,Kettlebells,Quadriceps,Kettlebell Thruster Progression
Strength,Body Only,Abdominals,Kettlebell 3-Point Extension
Plyometrics,Body Only,Quadriceps,Running Lunge
Plyometrics,Body Only,Quadriceps,Southpaw Sprawl
Cardio,Body Only,Shoulders,Bear Crawl Fire Feet
Strength,Body Only,Abdominals,Breakdancer
Plyometrics,Body Only,Quadriceps,Lunge Heel Kick
Plyometrics,Body Only,Quadriceps,Gorilla Squat
Plyometrics,Other,Quadriceps,Burppe Box Jump
Strength,Dumbbell,Quadriceps,Dumbbell Squat Snatch
Strength,Body Only,Shoulders,Wall Shoulder Tap
Strength,Body Only,Shoulders,Bear Crawl Shoulder Tap
Strength,Body Only,Quadriceps,Thigh Killa
Strength,Kettlebells,Shoulders,Double Kettlebell Snatch
Strength,Kettlebells,Shoulders,One-Arm Kettlebell Split Snatch
Strength,Kettlebells,Hamstrings,Open Palm Kettlebell Clean
Strength,Kettlebells,Hamstrings,One-Arm Open Palm Kettlebell Clean
Strength,Kettlebells,Shoulders,Kettlebell Seesaw Press
Stretching,Body Only,Quadriceps,Lying Prone Quadriceps
Strongman,Other,Quadriceps,Conan's Wheel
Powerlifting,Barbell,Hamstrings,Hanging Bar Good Morning
Olympic Weightlifting,Barbell,Quadriceps,Heaving Snatch Balance
Strongman,Other,Hamstrings,Power Stairs
Olympic Weightlifting,Barbell,Shoulders,Rack Delivery
Olympic Weightlifting,Barbell,Quadriceps,Snatch Balance
Strength,Barbell,Hamstrings,Snatch Pull
Olympic Weightlifting,Barbell,Hamstrings,Split Snatch
Strongman,Other,Quadriceps,Rickshaw Deadlift
Olympic Weightlifting,Barbell,Quadriceps,Power Snatch from Blocks
Powerlifting,Barbell,Triceps,Reverse Band Bench Press
Plyometrics,Other,Hamstrings,Box Skip
Plyometrics,Medicine Ball,Chest,Chest Push from 3 point stance
Plyometrics,Medicine Ball,Chest,Chest Push with Run Release
Plyometrics,Other,Chest,Heavy Bag Thrust
Plyometrics,Other,Adductors,Lateral Box Jump
